COREF,chapter,cat,COREF_head,count
116,3,PER,Providence,1
116,10,PER,Providence,1
116,21,PER,Providence,1
117,3,PER,The Baronet,2
118,4,PER,Little Charles,1
119,4,PER,the Miss Musgroves,4
119,5,PER,the Miss Musgroves,5
119,6,PER,the Miss Musgroves,10
119,7,PER,the Miss Musgroves,9
119,8,PER,the Miss Musgroves,5
119,9,PER,the Miss Musgroves,1
119,10,PER,the Miss Musgroves,1
119,11,PER,the Miss Musgroves,1
119,12,PER,the Miss Musgroves,1
119,16,PER,the Miss Musgroves,1
119,17,PER,the Miss Musgroves,2
119,20,PER,the Miss Musgroves,2
119,21,PER,the Miss Musgroves,1
120,4,PER,Mackenzie,2
121,4,PER,Henrietta,2
121,6,PER,Henrietta,1
121,7,PER,Henrietta,36
121,8,PER,Henrietta,11
121,9,PER,Henrietta,4
121,10,PER,Henrietta,26
121,11,PER,Henrietta,38
121,12,PER,Henrietta,2
121,15,PER,Henrietta,5
121,16,PER,Henrietta,1
121,20,PER,Henrietta,24
121,21,PER,Henrietta,1
122,4,PER,Louisa,2
122,5,PER,Louisa,9
122,6,PER,Louisa,1
122,7,PER,Louisa,20
122,8,PER,Louisa,60
122,9,PER,Louisa,10
122,10,PER,Louisa,29
122,11,PER,Louisa,51
122,12,PER,Louisa,13
122,15,PER,Louisa,19
122,16,PER,Louisa,32
122,17,PER,Louisa,10
122,20,PER,Louisa,8
122,21,PER,Louisa,15
123,4,PER,The Mr Musgroves,4
123,5,PER,The Mr Musgroves,1
124,5,PER,Jemima,6
124,6,PER,Jemima,1
124,15,PER,Jemima,1
125,5,PER,mamma,2
125,9,PER,mamma,1
126,3,GPE,Michaelmas,1
126,5,PER,Michaelmas,1
126,13,PER,Michaelmas,1
127,5,PER,Edward,1
127,7,PER,Edward,1
127,16,PER,Edward,2
127,21,PER,Edward,3
128,5,PER,Mary--,2
129,5,PER,Dick,6
129,6,PER,Dick,4
130,5,PER,Captain Wentworth,24
130,6,PER,Captain Wentworth,1
131,5,PER,Mr Robinson,3
132,5,PER,Nursing,1
133,6,PER,Mary:--,1
134,6,PER,Sophy,1
134,7,PER,Sophy,1
134,9,PER,Sophy,1
134,11,PER,Sophy,1
134,16,PER,Sophy,4
135,6,PER,Heaven,1
135,21,PER,Heaven,1
136,6,PER,Reported,1
138,6,PER,the Great Nation,1
139,6,PER,Poor Harville,6
140,7,PER,Mrs Harville,6
140,9,PER,Mrs Harville,3
140,10,PER,Mrs Harville,5
140,11,PER,Mrs Harville,25
140,12,PER,Mrs Harville,1
140,15,PER,Mrs Harville,5
140,16,PER,Mrs Harville,1
140,20,PER,Mrs Harville,4
141,7,PER,God,1
141,10,PER,God,1
141,11,PER,God,1
141,19,PER,God,1
141,21,PER,God,2
142,7,PER,Captain Croft,1
143,7,PER,the Hayters,4
143,15,PER,the Hayters,1
143,16,PER,the Hayters,1
144,7,PER,Uppercross,4
144,8,PER,Uppercross,1
144,11,PER,Uppercross,2
144,12,PER,Uppercross,1
144,13,PER,Uppercross,1
144,16,PER,Uppercross,1
145,7,PER,Mrs Hayter,1
146,7,PER,Mr Hayter,2
147,7,PER,Cousin Charles,1
148,7,PER,Lady Wentworth,2
149,7,PER,Sir Frederick,1
150,7,PER,the Spicers,1
152,7,PER,Dr Shirley,17
152,10,PER,Dr Shirley,26
152,11,PER,Dr Shirley,1
153,9,PER,Captain Harville,35
153,10,PER,Captain Harville,2
153,11,PER,Captain Harville,6
153,15,PER,Captain Harville,1
153,20,PER,Captain Harville,13
153,21,PER,Captain Harville,48
154,9,PER,the Harvilles,2
154,11,FAC,the Harvilles,1
154,11,PER,the Harvilles,9
154,12,PER,the Harvilles,1
154,15,PER,the Harvilles,9
154,21,PER,the Harvilles,1
155,9,PER,Captain Benwick,46
155,10,PER,Captain Benwick,31
155,11,PER,Captain Benwick,64
155,12,PER,Captain Benwick,46
155,15,PER,Captain Benwick,2
155,16,PER,Captain Benwick,22
155,17,PER,Captain Benwick,15
155,20,PER,Captain Benwick,15
155,21,PER,Captain Benwick,10
155,22,PER,Captain Benwick,1
156,9,PER,Fortune,1
157,9,PER,Fanny Harville,3
157,17,PER,Fanny Harville,2
157,21,PER,Fanny Harville,4
158,9,PER,Captains Wentworth,1
158,10,PER,Captains Wentworth,1
159,9,PER,Marmion,1
160,9,PER,the Giaour,2
161,10,PER,Mrs Shirley,6
162,10,PER,Crewkherne,1
162,11,GPE,Crewkherne,1
163,10,PER,Mr Scott,1
163,16,PER,Mr Scott,1
164,10,PER,Lord Byron,2
164,16,PER,Lord Byron,1
165,10,PER,June,1
166,10,PER,the Grappler,2
168,11,PER,Sarah,1
168,21,PER,Sarah,2
169,11,PER,Scenes,1
171,12,PER,Miss Harville,1
172,12,PER,Colonel Wallis,5
172,13,PER,Colonel Wallis,6
172,15,PER,Colonel Wallis,1
172,17,PER,Colonel Wallis,3
172,18,PER,Colonel Wallis,2
172,19,PER,Colonel Wallis,12
173,13,PER,Mrs Wallis,11
173,14,PER,Mrs Wallis,4
173,18,PER,Mrs Wallis,2
173,19,PER,Mrs Wallis,4
174,13,PER,Sir Walter,13
174,14,PER,Sir Walter,5
175,13,PER,Dowager Viscountess Dalrymple,2
175,14,PER,Dowager Viscountess Dalrymple,1
175,17,PER,Dowager Viscountess Dalrymple,1
176,13,PER,Miss Carteret,1
176,14,PER,Miss Carteret,6
176,16,PER,Miss Carteret,2
176,17,PER,Miss Carteret,3
176,18,PER,Miss Carteret,1
176,20,PER,Miss Carteret,1
176,21,PER,Miss Carteret,1
177,13,PER,the Dalrymples,2
177,14,PER,the Dalrymples,2
177,20,PER,the Dalrymples,1
178,13,PER,the Elliots,1
178,14,PER,the Elliots,1
178,16,PER,the Elliots,1
179,14,PER,Lady Dalrymple,15
179,16,PER,Lady Dalrymple,10
179,17,PER,Lady Dalrymple,10
179,18,PER,Lady Dalrymple,2
179,20,PER,Lady Dalrymple,3
179,21,PER,Lady Dalrymple,1
180,14,PER,Miss Hamilton,21
181,14,PER,Mrs Smith,35
181,15,PER,Mrs Smith,8
181,17,PER,Mrs Smith,16
181,18,PER,Mrs Smith,86
181,19,PER,Mrs Smith,194
181,20,PER,Mrs Smith,18
181,22,PER,Mrs Smith,16
182,14,PER,Nurse Rooke,8
182,18,PER,Nurse Rooke,1
183,14,PER,Mrs Rooke,2
183,18,PER,Mrs Rooke,1
183,19,PER,Mrs Rooke,3
184,15,PER,Sir Henry Russell,1
185,15,PER,Sunday,1
186,15,PER,"Anne,--I",5
187,15,PER,Mary,1
187,16,PER,Mary,9
188,16,PER,Brigden,2
189,16,PER,Admiral Brand,1
190,16,PER,Poor old Sir Archibald,7
192,16,PER,James Benwick,4
193,16,PER,Poor Frederick,4
194,16,PER,Molland,1
195,17,PER,Miss Atkinson,6
196,17,PER,Lady Alicia,1
196,20,PER,Lady Alicia,2
197,17,PER,Mrs Frankland,1
198,17,PER,Irish,1
199,18,PER,Miss Larolles,2
201,18,PER,Italian,1
202,18,PER,The little Durands,7
203,18,PER,The Ibbotsons,1
205,18,PER,Mrs Speed,1
206,19,PER,Charles Smith,1
207,19,PER,"Dear Smith,--I",5
209,19,PER,September,1
210,19,PER,Sir William,1
210,22,PER,Sir William,1
211,20,PER,Mr Smith,5
212,20,PER,the Smiths,3
213,20,PER,Captains Harville,1
215,20,PER,Phoo,1
216,20,PER,Thornberry,1
217,20,PER,the Sultaness Scheherazade,1
218,21,PER,Miss A. E.--,1
219,21,PER,Presently,1
220,0,PER,-1,1
221,0,PER,-1,1
222,0,PER,-1,2
222,1,PER,-1,1
222,4,PER,-1,1
222,5,PER,-1,1
222,9,PER,-1,1
222,12,PER,-1,1
222,13,PER,-1,1
222,14,PER,-1,1
223,0,PER,-1,2
223,3,PER,-1,1
223,4,PER,-1,6
223,5,PER,-1,2
223,7,PER,-1,3
223,8,PER,-1,1
223,9,PER,-1,25
223,10,PER,-1,5
223,11,PER,-1,4
223,12,PER,-1,5
223,16,PER,-1,1
223,19,PER,-1,6
223,20,PER,-1,2
223,21,PER,-1,2
223,22,PER,-1,1
224,0,PER,-1,1
225,0,GPE,-1,1
226,0,PER,-1,1
227,0,PER,-1,1
228,0,PER,-1,1
229,0,PER,-1,1
230,0,PER,-1,1
231,0,PER,-1,2
232,0,PER,-1,1
233,0,PER,-1,1
234,0,PER,-1,1
234,14,PER,-1,1
235,0,PER,-1,2
236,0,PER,-1,1
237,0,PER,-1,1
238,0,LOC,-1,1
238,1,LOC,-1,1
238,2,LOC,-1,2
238,4,LOC,-1,1
238,5,LOC,-1,5
238,7,LOC,-1,2
238,10,LOC,-1,1
238,13,LOC,-1,3
238,14,LOC,-1,5
238,15,LOC,-1,1
238,16,LOC,-1,1
238,17,LOC,-1,1
238,18,LOC,-1,3
238,19,LOC,-1,3
238,21,LOC,-1,3
238,22,LOC,-1,1
239,0,PER,-1,1
239,11,PER,-1,1
239,20,PER,-1,1
239,22,PER,-1,1
240,0,PER,-1,1
240,7,PER,-1,1
240,11,PER,-1,1
240,20,PER,-1,1
241,0,PER,-1,1
242,0,PER,-1,1
243,0,PER,-1,1
243,2,PER,-1,1
243,6,PER,-1,1
244,0,PER,-1,1
245,0,PER,-1,1
246,0,PER,-1,1
247,0,GPE,-1,1
248,0,PER,-1,1
248,7,PER,-1,1
249,0,PER,-1,1
250,0,PER,-1,2
251,0,PER,-1,1
251,4,PER,-1,1
251,15,PER,-1,1
252,0,PER,-1,1
253,0,PER,-1,1
253,1,PER,-1,1
253,2,PER,-1,1
253,4,PER,-1,6
253,9,PER,-1,2
253,10,PER,-1,1
253,11,PER,-1,2
253,12,PER,-1,1
253,14,PER,-1,4
253,15,PER,-1,1
253,17,PER,-1,3
253,19,PER,-1,4
253,20,PER,-1,1
254,0,PER,-1,1
254,13,PER,-1,1
255,0,PER,-1,1
255,5,PER,-1,1
255,9,PER,-1,1
255,11,PER,-1,1
255,14,PER,-1,1
255,16,PER,-1,1
255,20,PER,-1,1
256,0,PER,-1,1
257,0,PER,-1,1
258,0,PER,-1,1
259,0,PER,-1,4
259,16,PER,-1,1
259,21,PER,-1,4
260,0,PER,-1,1
261,0,PER,-1,1
262,0,PER,-1,1
263,0,PER,-1,1
264,0,PER,-1,1
264,1,PER,-1,1
264,11,PER,-1,2
264,12,PER,-1,1
264,15,PER,-1,1
264,16,PER,-1,1
265,0,PER,-1,1
266,0,PER,-1,1
267,0,PER,-1,1
268,0,PER,-1,2
268,5,PER,-1,1
268,20,PER,-1,2
269,0,PER,-1,1
269,6,PER,-1,3
269,8,PER,-1,1
269,11,PER,-1,1
269,12,PER,-1,2
269,13,PER,-1,2
269,19,PER,-1,4
269,20,PER,-1,3
269,21,PER,-1,2
270,0,PER,-1,1
271,0,PER,-1,1
272,0,PER,-1,1
273,0,PER,-1,1
273,5,PER,-1,4
274,0,PER,-1,1
274,9,PER,-1,1
275,0,PER,-1,18
275,1,PER,-1,5
275,2,PER,-1,2
275,3,PER,-1,3
275,4,PER,-1,3
275,7,PER,-1,1
275,9,PER,-1,1
275,10,PER,-1,2
275,11,PER,-1,5
275,12,PER,-1,6
275,13,PER,-1,12
275,14,PER,-1,1
275,15,PER,-1,4
275,17,PER,-1,3
275,18,PER,-1,1
275,19,PER,-1,2
275,20,PER,-1,7
275,21,PER,-1,2
276,0,PER,-1,1
278,0,PER,-1,1
279,0,PER,-1,1
280,0,PER,-1,1
282,0,FAC,-1,1
282,5,FAC,-1,1
282,7,FAC,-1,1
282,11,FAC,-1,1
283,0,FAC,-1,1
285,0,PER,-1,1
286,0,FAC,-1,2
286,1,FAC,-1,1
286,3,FAC,-1,1
286,4,FAC,-1,2
286,5,FAC,-1,5
286,6,FAC,-1,6
286,7,FAC,-1,4
286,8,FAC,-1,3
286,9,FAC,-1,2
286,10,FAC,-1,2
286,11,FAC,-1,9
286,12,FAC,-1,2
286,13,FAC,-1,2
286,14,FAC,-1,3
286,15,FAC,-1,3
286,16,FAC,-1,3
286,17,FAC,-1,1
286,18,FAC,-1,2
286,20,FAC,-1,6
286,21,FAC,-1,7
287,0,FAC,-1,1
